job_count,job_title
1150327,NULL
148083,Software Development Engineer
88140,Systems Engineer
51956,Java Developer
48492,Business Analyst
38190,Systems Administrator
37552,Network Engineer
32561,Devops Engineer
32525,Data Analyst
30946,Software Developer
29501,Senior Systems Engineer
25399,Solutions Architect
25189,Systems Analyst
24894,Security Engineer
18106,Business Systems Analyst
17537,Applications Engineer
17323,Quality Engineer
16355,Financial Analyst
16185,Quality Assurance Engineer
16026,Electrical Engineer
15596,Applications Developer
15257,.Net Developer
13079,Security Analyst
13044,Python Developer
12744,Mechanical Engineer
12358,Information Technology Project Manager
12322,Information Technology Specialist
11617,Quality Assurance Analyst
11399,Engineering Manager
11235,Database Administrator
10007,Information Technology Manager
9852,Manufacturing Engineer
9751,Java Engineer
9670,Process Engineer
9657,Senior Systems Administrator
9136,Data Architect
8713,Systems Architect
8485,Cyber Security Engineer
8457,Applications Analyst
8324,Marketing Manager
8126,Management Analyst
8110,Staff Accountant
8100,Network Administrator
8027,Operations Analyst
8002,Business Consultant
7820,Enterprise Architect
7816,Web Developer
7334,Information Security Analyst
7245,Security Architect
7177,Senior Business Analyst
7138,Programmer/Analyst
6800,Account Manager
6722,Maintenance Technician
6687,Security Manager
6174,Senior Devops Engineer
6174,Applications Architect
6138,Linux Systems Administrator
6110,Principal Systems Engineer
6076,Quality Assurance Tester
5928,Engineering Technician
5845,Senior Financial Analyst
5681,Technical Project Manager
5486,Technical Architect
5468,Front End Developer
5451,Machine Learning Engineer
5289,Principal Software Engineer
5197,Contract Specialist
5188,Business Intelligence Analyst
5143,Information Security Engineer
5124,Information Technology Analyst
5023,Director of Engineering
4943,Window Systems Administrator
4855,Full Stack Developer
4797,Technical Writer
4776,Sales Engineer
4656,ETL Developer
4643,Software Architect
4529,Technical Analyst
4522,Technology Manager
4520,Help Desk Technician
4479,Merchandiser
4471,Security Consultant
4267,Quality Asurance Manager
4265,Civil Engineer
4231,Security Specialist
4214,Software Test Engineer
4173,Program Analyst
4169,Electronics Engineer
4154,Firmware Engineer
4090,Technical Consultant
4086,Hardware Engineer
4044,Business Intelligence Developer
4039,Accountant
4030,Linux Administrator
4009,Customer Service Representative
4002,Senior Electrical Engineer
3924,Information Technology Business Analyst
3849,Risk Manager
3844,Information Systems Security Officer
3771,Chemist
3717,Linux Engineer
3607,Director of Information Technology
3527,Software Quality Assurance Engineer
3487,Infrastructure Architect
3459,Marketing Analyst
3458,User Interface (UI) Developer
3457,Network Security Engineer
3409,Marketing Specialist
3379,Electronics Technician
3374,C++ Developer
3351,Desktop Support
3351,Sales Representative
3347,Network Specialist
3344,Validation Engineer
3343,Android Developer
3296,Database Engineer
3280,Tax Manager
3278,Actuarial Analyst
3271,Information Technology Security Analyst
3246,Software Engineering Manager
3195,Information Technology Auditor
3171,Oracle Database Administrator
3125,Research Technician
3124,Information Technology Technician
3079,Risk Analyst
3074,Sales Manager
3032,Software Development Manager
2982,SQL Database Administrator
2932,SQL Developer
2901,Senior .Net Developer
2901,Business Data Analyst
2888,Cloud Engineer
2869,Quality Assurance Specialist
2865,Desktop Support Technician
2844,RF Engineer
2817,Network Analyst
2798,Service Technician
2746,Development Associate
2721,Network Architect
2708,Software Manager
2707,Industrial Engineer
2664,Java Architect
2662,Technical Support Engineer
2654,Compliance Analyst
2650,Systems Engineering Manager
2640,Actuary
2601,Systems Integration Engineer
2587,Information Technology Consultant
2579,Supply Chain Analyst
